"Mach","p","tp","x","Points:0","Points:1","Points:2"
1.5079,0.074481,0.27653,3.7246,24.21,0,0
1.5139,0.074013,0.27724,3.7359,24.283,0,0
1.5188,0.073738,0.27819,3.7471,24.356,0,0
1.523,0.073563,0.27925,3.7584,24.43,0,0
1.5272,0.073389,0.28032,3.7696,24.503,0,0
1.5314,0.073214,0.28138,3.7809,24.576,0,0
1.5356,0.073039,0.28245,3.7921,24.649,0,0
1.5399,0.072865,0.28351,3.8034,24.722,0,0
1.5441,0.07269,0.28458,3.8146,24.795,0,0
1.5483,0.072516,0.28565,3.8259,24.868,0,0
1.5525,0.072341,0.28671,3.8371,24.941,0,0
1.5567,0.072167,0.28778,3.8484,25.014,0,0
1.5599,0.072062,0.28871,3.8596,25.087,0,0
1.5628,0.071974,0.28961,3.8708,25.16,0,0
1.5657,0.071885,0.29051,3.8821,25.234,0,0
1.5687,0.071797,0.2914,3.8933,25.307,0,0
1.5716,0.071708,0.2923,3.9046,25.38,0,0
1.5745,0.071619,0.2932,3.9158,25.453,0,0
1.5774,0.071531,0.2941,3.9271,25.526,0,0
1.5804,0.071442,0.295,3.9383,25.599,0,0
1.5833,0.071354,0.2959,3.9496,25.672,0,0
1.5862,0.071265,0.2968,3.9608,25.745,0,0
1.5879,0.071294,0.29765,3.9721,25.818,0,0
1.5894,0.071335,0.2985,3.9833,25.892,0,0
1.5909,0.071376,0.29935,3.9946,25.965,0,0
1.5924,0.071418,0.3002,4.0058,26.038,0,0
1.5939,0.071459,0.30105,4.017,26.111,0,0
1.5955,0.0715,0.3019,4.0283,26.184,0,0
1.597,0.071541,0.30275,4.0395,26.257,0,0
1.5985,0.071583,0.3036,4.0508,26.33,0,0
1.6,0.071624,0.30445,4.062,26.403,0,0
1.6015,0.071665,0.3053,4.0733,26.476,0,0
1.5967,0.072242,0.3055,4.0845,26.549,0,0
1.5915,0.072859,0.30565,4.0958,26.622,0,0
1.5862,0.073477,0.30579,4.107,26.696,0,0
1.5809,0.074095,0.30594,4.1183,26.769,0,0
1.5756,0.074712,0.30609,4.1295,26.842,0,0
